Intrusion,2021,94 min,Thriller,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
Schumacher,2021,113 min,"Documentary Sports","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
Tughlaq Durbar,2020,145 min,"Comedie Drama International ",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Blood Brothers: Malcolm X & Muhammad Ali,2021,96 min,"Documentarie Sports ","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
Worth,2021,119 min,Drama"In the wake of the Sept. 11 attack a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
Anjaam,1994,143 min,"Drama International Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
Final Account,2021,94 min,DocumentarieThis documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
Gurgaon,2017,106 min,"Drama International Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
Shikara Chopra,2020,115 min,"Drama International Romantic ",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
A Cinderella Story,2004,95 min,"Children & Family Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Agatha Christie's Crooked House-Brenner,2017,115 min,"Drama International Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
Clear and Present Danger,1994,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
School of Rock,2003,110 min,"Comedie Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
The Nutty Professor II: The KlumpPeter Segal,2000,107 min,"Comedie Romantic ","After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation."
Thimmarusu,2021,125 min,"Drama International ","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
C Kkompany,2008,127 min,"Action & Adventure, Comedie International ","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
EMI: Liya Hai To Chukana Padega,2008,128 min,"Comedie Drama International ",A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
Koi Aap Sa,2006,135 min,"Comedie Drama International ","Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisi he drops everything to help her."
Krishna Cottage,2004,124 min,"Action & Adventure, Horror International ",True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
Kyo Kii... Main Jhuth Nahin Bolta,2001,150 min,"Comedie International Sci-Fi & Fantasy",The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,119 min,"Action & Adventure, International Music & Musicals",A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
Once Upon a Time in Mumbaai,2010,133 min,"Drama International Music & Musicals","Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
The Dirty Picture,2011,145 min,"Comedie Drama International ","After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
The November Man,2014,108 min,Action & Adventure,"An ex-CIA agent emerges from retirement to protect an important witnes but he soon discovers that old friends can make the most dangerous enemies."
Boomika Prasad,2021,122 min,"Horror International Movie Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Boomika (Hindi) Prasad,2021,122 min,"Horror International Movie Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Boomika (Malayalam) Prasad,2021,122 min,"Horror International Movie Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Boomika (Telugu) Prasad,2021,122 min,"Horror International Movie Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Gunshot Shenawy,2018,96 min,"Drama International Thrillers","After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth."
Bombay,1995,135 min,"Drama International Romantic ","Years after they elope against their family’s wishe a couple and their sons become caught in the throes of conflict in their city."
Nneka The Pretty Serpent,2020,140 min,"Drama International ","Years after the mysterious murder of her parent a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers."
O Kadhal Kanmani,2015,133 min,"Drama International Romantic ","It's love at first sight for a young couple repelled by the concept of marriage, but their view shifts when they meet their older-couple neighbors."
The Secret Diary of an Exchange Student,2021,97 min,"Comedie International Romantic ","Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?"
